城市,攻击策略,攻击半径,健壮性
Qingdao,动态分裂增益贪心,100,0.204601
Qingdao,边际收益驱动的自适应调权,100,0.025078
Qingdao,权重池搜索的动态调权,100,0.062182
Qingdao,随机打击,300,0.305014
Qingdao,动态度贪心,300,0.278912
Qingdao,动态 k-core 贪心,300,0.266571
Qingdao,动态近似介数贪心,300,0.063656
Qingdao,动态分裂增益贪心,300,0.303000
Qingdao,边际收益驱动的自适应调权,300,0.050822
Qingdao,权重池搜索的动态调权,300,0.104211
Qingdao,随机打击,500,0.330769
Qingdao,动态度贪心,500,0.336393
Qingdao,动态 k-core 贪心,500,0.328126
Qingdao,动态近似介数贪心,500,0.078164
Qingdao,动态分裂增益贪心,500,0.354380
Qingdao,边际收益驱动的自适应调权,500,0.051841
Qingdao,权重池搜索的动态调权,500,0.153240
Quanzhou,随机打击,0,0.187663
Quanzhou,动态度贪心,0,0.102421
Quanzhou,动态 k-core 贪心,0,0.092244
Quanzhou,动态近似介数贪心,0,0.050113
Quanzhou,动态分裂增益贪心,0,0.141864
Quanzhou,边际收益驱动的自适应调权,0,0.018306
Quanzhou,权重池搜索的动态调权,0,0.028000
Quanzhou,随机打击,100,0.186489
Quanzhou,动态度贪心,100,0.160700
Quanzhou,动态 k-core 贪心,100,0.156790
Quanzhou,动态近似介数贪心,100,0.061885
Quanzhou,动态分裂增益贪心,100,0.163875
Quanzhou,边际收益驱动的自适应调权,100,0.026987
Quanzhou,权重池搜索的动态调权,100,0.044122
Quanzhou,随机打击,300,0.224134
Quanzhou,动态度贪心,300,0.231799
Quanzhou,动态 k-core 贪心,300,0.228507
Quanzhou,动态近似介数贪心,300,0.085408
Quanzhou,动态分裂增益贪心,300,0.226006
Quanzhou,边际收益驱动的自适应调权,300,0.035455
Quanzhou,权重池搜索的动态调权,300,0.068936
Quanzhou,随机打击,500,0.262343
Quanzhou,动态度贪心,500,0.257352
Quanzhou,动态 k-core 贪心,500,0.254337
Quanzhou,动态近似介数贪心,500,0.096289
Quanzhou,动态分裂增益贪心,500,0.259730
Quanzhou,边际收益驱动的自适应调权,500,0.068025
